system,backend,run,doc_to_model_projects,doc_to_code_projects,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (Claude),claude,run1,5,5,0.9606,0.9276,0.9408,0.9578,0.0385,0.9463,0.8793,0.9101,0.8910,0.7333,0.8783,0.8557,0.0617
approach (Claude),claude,run2,5,5,0.9365,0.8919,0.9074,0.9379,0.0665,0.9665,0.8449,0.8973,0.8620,0.6979,0.8698,0.8287,0.0790
approach (Claude),claude,run3,5,5,0.9507,0.9244,0.9345,0.9536,0.0501,0.9579,0.8723,0.9108,0.8932,0.6533,0.7229,0.8579,0.0708
approach (Claude),claude,average,5,5,0.9493,0.9146,0.9276,0.9498,0.0517,0.9569,0.8655,0.9061,0.8821,0.6949,0.8237,0.8475,0.0705
approach (GPT-5.4),gpt-5.4,run1,5,5,0.9313,0.8619,0.8914,0.9047,0.0688,0.9058,0.8468,0.8742,0.8653,0.5539,0.6879,0.8122,0.0722
approach (GPT-5.4),gpt-5.4,run2,5,5,0.9452,0.8581,0.8963,0.9074,0.0549,0.9201,0.8398,0.8769,0.8640,0.6059,0.8231,0.8123,0.0683
approach (GPT-5.4),gpt-5.4,run3,5,5,0.9449,0.8549,0.8940,0.9032,0.0552,0.9123,0.8384,0.8727,0.8598,0.6127,0.8232,0.8079,0.0712
approach (GPT-5.4),gpt-5.4,average,5,5,0.9405,0.8583,0.8939,0.9051,0.0596,0.9128,0.8417,0.8746,0.8630,0.5908,0.7780,0.8108,0.0706
approach S21 (GPT-5.4),gpt-5.4,run1,5,5,0.9958,0.8958,0.9415,0.9370,0.0024,0.9723,0.8596,0.9101,0.8854,0.7331,0.8792,0.8436,0.0291
approach S21 (GPT-5.4),gpt-5.4,run2,5,5,0.9842,0.8891,0.9329,0.9379,0.0182,0.9572,0.8593,0.9039,0.8804,0.7596,0.8887,0.8401,0.0429
approach S21 (GPT-5.4),gpt-5.4,run3,5,5,0.9882,0.8891,0.9338,0.9370,0.0136,0.9595,0.8582,0.9048,0.8827,0.7664,0.8836,0.8414,0.0382
approach S21 (GPT-5.4),gpt-5.4,average,5,5,0.9894,0.8913,0.9360,0.9373,0.0114,0.9630,0.8590,0.9063,0.8828,0.7530,0.8838,0.8417,0.0367
approach S21 (Claude),claude,run1,5,5,0.9528,0.9177,0.9318,0.9578,0.0483,0.9674,0.8800,0.9195,0.8905,0.5418,0.6988,0.8523,0.0556
approach S21 (Claude),claude,run2,5,5,0.9702,0.9102,0.9373,0.9491,0.0306,0.9732,0.8674,0.9148,0.8884,0.5863,0.7055,0.8436,0.0397
approach S21 (Claude),claude,run3,5,5,0.9601,0.8752,0.9103,0.9142,0.0435,0.9692,0.8326,0.8909,0.8691,0.6000,0.7069,0.8323,0.0659
approach S21 (Claude),claude,average,5,5,0.9610,0.9010,0.9265,0.9403,0.0408,0.9699,0.8600,0.9084,0.8827,0.5760,0.7038,0.8427,0.0537
Artemis (GPT-5.4),gpt-5.4,single,5,5,0.9297,0.7631,0.8355,0.7882,0.0718,0.9412,0.7779,0.8488,0.8090,0.3455,0.4656,0.7091,0.0598
TransArC,deterministic,single,5,5,0.8695,0.7717,0.7990,0.7890,0.1374,0.8855,0.7753,0.8026,0.8189,0.5445,0.6734,0.7511,0.1303
Delta (approach (GPT-5.4) - Artemis (GPT-5.4)),,delta,,,0.0108,0.0953,0.0584,0.1169,-0.0121,-0.0285,0.0638,0.0258,0.0540,0.2454,0.3124,0.1017,0.0108
